dataset, model, R, U1, U2, S, acc
humor01, agree, 0.021582791585701755, 0.04101108175095709, 2.6180510218343886e-15, 0.24272528925387798, 0.531190926275992
humor01, early_fusion, 0.007013914761171192, 0.27301688147876635, 1.9445023353987215e-08, 0.18953974830285192, 0.592627599243856
humor01, align, 0.12147295419283677, 0.04692737626741148, 0.006100392473786707, 0.18782736708150882, 0.534971644612476
humor01, outer, 0.024778269744053366, 0.14776820162643076, 2.983235817069868e-16, 0.15226263634095608, 0.598298676748582
humor01, lower, 0.016830175465025687, 0.14539588797397104, 2.232805844431489e-08, 0.19467760794305228, 0.583175803402646
humor01, elem, 0.031267918158849994, 0.13206909877284786, 1.0540466195514293e-15, 0.1573178816083945, 0.594517958412098
humor01, MI, 0.021083370733483875, 0.2327824588907064, 4.037015440881478e-08, 0.15377015429078505, 0.609640831758034
humor01, mfm, 0.046469846321134406, 0.08055616717925501, 0.004654783171042068, 0.19850141845675895, 0.595463137996219

humor02, dataset, 0.009337854948745818, 0.021847692065991478, 1.81299020742313e-05, 0.16849549047342097, 1
humor02, additive, 0.025098035502624655, 0.0004968361923120343, 0.01668798542540018, 0.15248720974245272, 0.603024574669187
humor02, agree, 0.02082528227225764, 2.6457997951396553e-06, 0.019256110936261544, 0.15184436513015137, 0.586956521739130
humor02, early_fusion, 0.04923601021342097, 0.014211589109925472, 0.0005398209217648928, 0.17150934520629627, 0.623818525519848
humor02, align, 0.019945373045396148, 6.058975142682962e-06, 0.018294081328230162, 0.15187976985995566, 0.595463137996219
humor02, lower, 0.04252941442834231, 0.0017787712510792546, 0.014236003010939925, 0.15349267648410184, 0.624763705103969
humor02, outer, 0.02933023135263793, 0.00025198687970311336, 0.011804741992653932, 0.14339303506893952, 0.622873345935727
humor02, elem, 0.021272325246380647, 0.0068014900492235015, 0.0007023526928981241, 0.1567632452640174, 0.607750472589792
humor02, MI, 0.036974015456182736, 0.021458011645856135, 0.001283413598915624, 0.14290815449822136, 0.644612476370510
humor02, mfm, 0.030291855772671822, 0.013154440878326408, 0.0015111390926048705, 0.1692820790799025, 0.648393194706994

mosei12, dataset, 0.012201277189701914, 5.11158894365517e-15, 0.00796211487511528, 0.023707332755762842, 1
mosei12, additive, 0.016409350636140095, 3.7787374497953067e-16, 0.027721534292422596, 0.020636392615193684, 0.799285125103107
mosei12, agree, 0.01957935048618681, 1.7775376001637893e-15, 0.03130133023478989, 0.02380512417626751, 0.8012097882870498
mosei12, align, 0.022955498482501866, 0.00021930688397696658, 0.0017302722097078654, 0.02255226993116999, 0.6494363486389881
mosei12, lower, 0.01793626790260383, 8.483366635840829e-16, 0.04364438775605217, 0.023870635720882688, 0.7866373384657684
mosei12, outer, 0.015358612229586295, 2.9668896792346235e-15, 0.0273095343039289, 0.02413717080411678, 0.7984602694528458
mosei12, elem, 0.01891648618055459, 5.652345005289825e-16, 0.031256011488292566, 0.023335079481333697, 0.800659884520209
mosei12, mi, 0.015175072080867782, 2.810434451978822e-15, 0.021414513430455296, 0.024256928273301767, 0.8100082485565027
mosei12, early_fusion, 0.03125566816103287, 5.543265489804256e-15, 0.048386824562592114, 0.021269079073296573, 0.7871872422326093
mosei12, mfm, 0.024899187830055763, 2.4786337941776763e-15, 0.022497583928163038, 0.019761899279127346, 0.688545688545688

mosei01, dataset, 0.011923463479175563, 0.004742461405106798, 0.0002778137128733109, 0.022767503315842173, 1
mosei01, additive, 0.08008208424404968, 0.012073775725148376, 1.4475121900700176e-13, 0.01882229637545005, 0.6464118779213638
mosei01, align, 0.1291762997322852, 0.0002930345145588639, 0.022295612304205476, 0.005445811669816031, 0.39593071212537806
mosei01, agree, 0.07470020934377292, 0.004819537534533064, 0.0023949787254289, 0.016801909190281225, 0.6131427000274952
mosei01, outer, 0.023351175405846955, 0.013606593572815753, 3.4315036208152418e-06, 0.014721668744850626, 0.6491613967555677
mosei01, lower, 0.018605809450078614, 0.01162651153984701, 1.568943865232219e-05, 0.012257148816667736, 0.6521858674731922
mosei01, mi, 0.030516522588250786, 0.01250597318924394, 7.89854445989878e-15, 0.015666275455965946, 0.6469617816882046
mosei01, elem, 0.03460409161937868, 0.016821673019119847, 5.1206253399558964e-06, 0.017122101626102046, 0.6505361561726698
mosei01, early_fusion, 4.015816279516696e-12, -1.884169714067468e-17, -2.1865610531177962e-17, -4.0158987246499244e-12, 0.6288149573824581

mosei02, dataset, 0.014871553843367403, 0.001794371042577328, 0.005291838221690899, 0.030046888255857152, 1
mosei02, align, 0.031084886437966863, 0.0014564122893086422, 0.000822759614824394, 0.026355984344514055, 0.6513610118229309
mosei02, agree, 0.01626905148461931, 4.168239646612153e-07, 0.027263254243665692, 0.02325338686674268, 0.8014847401704702
mosei02, additive, 0.017246202728205297, 2.520049938003121e-15, 0.023249193910178018, 0.02255247627309087, 0.7979103656860049
mosei02, lower, 0.015325270872358888, 0.000379048123787403, 0.03662048283955204, 0.028788355826915503, 0.7962606543854825
mosei02, outer, 0.013629337266903192, 2.3021174323624594e-15, 0.040590590264505524, 0.026981717678767413, 0.810283200439923
mosei02, elem, 0.01432231005410288, 8.172638337281177e-16, 0.043885236795160806, 0.0263028291426273, 0.8064338740720374
mosei02, mi, 0.025188478883128265, 5.135301275057993e-15, 0.025416662741062135, 0.03102917884636054, 0.7951608468518009
mosei02, early_fusion, 9.464651284795086e-12, 5.570695888943446e-17, -1.165467835818557e-17, -9.46465128479509e-12, 0.6288149573824581

sarcasm01, dataset, 0.13897798270621006, 0.011877762823042586, 0.014874411390546792, 0.20343665623725246, 1
sarcasm01, additive, 0.25151035647113806, 0.12479060025361519, 2.8621335544022744e-07, 0.15364890432201128, 0.608695652173913
sarcasm01, align, 0.27251232677029036, 0.12295872894624592, 5.261997866056406e-07, 0.13735119344572821, 0.615942028985507
sarcasm01, agree, 0.330148235571387, 0.09869090453766557, 5.171433992974859e-07, 0.15578564472592477, 0.579710144927536
sarcasm01, early_fusion, 5.557240500231607e-12, 1.333558671073274e-16, 8.921557380697944e-17, -5.557202199198184e-12, 0.57246376811594
sarcasm01, elem, 0.3559788057019293, 0.06577968034099718, 5.042575077205473e-07, 0.1595632732870762, 0.550724637681159
sarcasm01, outer, 0.3315765937659855, 0.0463544280093105, 5.776786357655283e-07, 0.1781147968423602, 0.601449275362318
sarcasm01, lower, 0.2419514435959932, 0.08135366040657857, 2.682786029694196e-07, 0.24477098292225874, 0.586956521739130
sarcasm01, MI, 0.2822128068667616, 0.036502285007198286, 0.01717133569662334, 0.17858580961722154, 0.557971014492753

sarcasm02, dataset, 0.13867465545033503, 0.010734627613323378, 0.015180203579565224, 0.33586827021206883, 1
sarcasm02, early_fusion, 4.823721070501376e-12, 2.2683291437696623e-16, 7.302213039533126e-17, -4.823582819154509e-12, 0.57246376811594
sarcasm02, outer, 0.1828891287659375, 0.013406375962944413, 0.015115024177881931, 0.33598324752767295, 0.594202898550724
sarcasm02, lower, 0.17306270375482916, 4.278747395030554e-07, 0.05528190243899876, 0.275977697778383, 0.579710144927536
sarcasm02, elem, 0.18459447812701857, 0.01270983366969045, 0.036100408822349495, 0.3236765979774788, 0.637681159420289
sarcasm02, MI, 0.20346697084691096, 0.00985342990414814, 0.031196284282572873, 0.2524169031423824, 0.630434782608695
sarcasm02, additive, 0.13953765073383922, 0.0012126538393277715, 0.07369007461683459, 0.33054859513740303, 0.688405797101449
sarcasm02, align, 0.15692392339054523, 0.0011619372279032475, 0.08122255625046478, 0.29420850745872734, 0.695652173913043
sarcasm02, agree, 0.19339756228120142, 3.953547367116368e-07, 0.07394899057603041, 0.2658514945439585, 0.666666666666666

sarcasm12, dataset, 0.14303847036997697, 0.006366768520297835, 0.007814059491009587, 0.3671213343146194, 1
sarcasm12, additive, 0.1681635157157274, 0.0012115919438626722, 0.041396514541808656, 0.333208215955027, 0.702898550724637
sarcasm12, align, 0.19917673359625648, 1.839719859430418e-07, 0.0609400970469172, 0.2896990711460709, 0.702898550724637
sarcasm12, agree, 0.17672687216471838, 9.300165104391667e-08, 0.05085897595042683, 0.30561250163913095, 0.681159420289855
sarcasm12, early_fusion, 0.06166947705817703, 1.1448799942077563e-07, 0.03496729506899769, 0.03905004247026504, 0.4202898550724637
sarcasm12, mi, 0.1812796372029139, 0.0026704647868078593, 0.07547535013368097, 0.29106749607399846, 0.630434782608695
sarcasm12, outer, 0.1978873147309813, 2.8426942520405275e-07, 0.13441859380616183, 0.2528077239966279, 0.594202898550724
sarcasm12, lower, 0.21162994219679598, 4.747417196498057e-07, 0.05403206778892659, 0.2621770612846396, 0.594202898550724
sarcasm12, elem, 0.17466180888331956, 0.007007877762790197, 0.11477073349622993, 0.22786497641976677, 0.601449275362318
